============================================================
--- f = 600.0 Hz | active modes = [0, 1] (2 modes) ---
============================================================

--- Phase 1: Mode 0 | Adam (max 40001 steps) ---
[Adam M0] Step 27400 | pde 1.37e-01 | bc 1.15e-03 | total 1.38e-01 | scales [10.67594    3.8950028]
[Adam M0] Step 27600 | pde 1.09e-02 | bc 2.70e-03 | total 1.36e-02 | scales [10.648275   3.9493895]
[Adam M0] Step 27800 | pde 8.68e-03 | bc 2.37e-03 | total 1.10e-02 | scales [10.648291   3.9481776]
[Adam M0] Step 28000 | pde 5.99e-03 | bc 2.93e-03 | total 8.92e-03 | scales [10.653929   3.9058475]
[Adam M0] Step 28200 | pde 7.42e-03 | bc 2.53e-03 | total 9.95e-03 | scales [10.653926   3.9378016]
[Adam M0] Step 28400 | pde 2.35e-02 | bc 3.62e-03 | total 2.72e-02 | scales [10.655211   3.8022897]
[Adam M0] Step 28600 | pde 1.04e-02 | bc 2.73e-03 | total 1.31e-02 | scales [10.654128   3.9678218]
[Adam M0] Step 28800 | pde 1.68e-02 | bc 3.53e-03 | total 2.03e-02 | scales [10.638248   3.8995447]
[Adam M0] Step 29000 | pde 3.76e-03 | bc 2.59e-03 | total 6.35e-03 | scales [10.6378355  3.930103 ]
[Adam M0] Step 29200 | pde 6.60e-03 | bc 3.06e-03 | total 9.66e-03 | scales [10.637833   3.9422529]
[Adam M0] Step 29400 | pde 6.62e-03 | bc 3.00e-03 | total 9.62e-03 | scales [10.638893   3.9516215]
[Adam M0] Step 29600 | pde 4.64e-03 | bc 2.20e-03 | total 6.83e-03 | scales [10.638885   3.9616113]
[Adam M0] Step 29800 | pde 9.43e-03 | bc 2.05e-03 | total 1.15e-02 | scales [10.639329   3.9355688]
[Adam M0] Step 30000 | pde 2.04e-02 | bc 5.27e-04 | total 2.10e-02 | scales [10.626428   3.8206244]
[Adam M0] Step 30200 | pde 3.09e-02 | bc 3.26e-03 | total 3.42e-02 | scales [10.629992   3.8426676]
[Adam M0] Step 30400 | pde 3.76e-03 | bc 1.57e-03 | total 5.33e-03 | scales [10.631221   3.9731507]
[Adam M0] Step 30600 | pde 4.15e-03 | bc 1.15e-03 | total 5.31e-03 | scales [10.632598   3.9719615]
[Adam M0] Step 30800 | pde 8.36e-03 | bc 1.76e-03 | total 1.01e-02 | scales [10.634073   3.9019842]
[Adam M0] Step 31000 | pde 4.19e-03 | bc 1.95e-03 | total 6.14e-03 | scales [10.6340065  3.913157 ]
[Adam M0] Step 31200 | pde 4.63e-03 | bc 1.66e-03 | total 6.29e-03 | scales [10.634      3.9101875]
[Adam M0] Step 31400 | pde 1.89e-02 | bc 5.72e-04 | total 1.95e-02 | scales [10.633589   3.7718763]
[Adam M0] Step 31600 | pde 4.40e-03 | bc 1.88e-03 | total 6.28e-03 | scales [10.631431  3.884478]
[Adam M0] Step 31800 | pde 1.43e-02 | bc 1.61e-03 | total 1.59e-02 | scales [10.6244335  3.837077 ]
[Adam M0] Step 32000 | pde 1.93e-03 | bc 1.37e-03 | total 3.30e-03 | scales [10.624117  3.909426]
[Adam M0] Step 32200 | pde 3.28e-03 | bc 8.15e-04 | total 4.09e-03 | scales [10.62412   3.935257]
